Hubs,Auth
120978,134412
120978,145378
120978,130127
120978,145394
120978,115872
120978,150088
120978,78879
120978,8728
120978,47617
120978,150803
120978,133870
120978,128545
120978,40972
120978,153086
120978,121221
120978,66245
120978,107872
120978,22573
120978,29393
120978,92197
120978,119130
120978,33271
120978,36736
120978,97751
120978,167839
120978,77503
120978,107721
120978,160155
120978,50438
120978,3964
120978,164188
120978,95578
120978,16693
120978,166029
120978,167407
120978,60719
120978,73791
120978,140262
120978,123084
120978,133199
120978,143247
120978,165431
120978,164408
120978,126791
120978,99762
120978,34239
120978,19406
120978,105541
120978,35789
120978,551
120978,29493
120978,108619
120978,82755
120978,148775
120978,153744
120978,104732
120978,37256
120978,80711
120978,33466
120978,9227
120978,123890
120978,161854
120978,123248
120978,130406
120978,32983
120978,64889
120978,86782
120978,111433
120978,96371
120978,157250
120978,77238
120978,103512
120978,70065
120978,152216
120978,107322
120978,99929
120978,150820
120978,107324
120978,73960
120978,107549
120978,84515
120978,29582
120978,5991
120978,105864
120978,5137
120978,152040
120978,18130
120978,13056
120978,51152
120978,37718
120978,102765
120978,1185
120978,91983
120978,27656
120978,27363
120978,103138
120978,136105
120978,74998
120978,7585
120978,34982
120978,16390
120978,26451
120978,139060
120978,37680
120978,107185
120978,1559
120978,5748
120978,98129
120978,150528
120978,87441
120978,49535
120978,30626
120978,887
120978,153418
120978,74459
120978,121821
120978,4100
120978,88152
120978,33855
120978,99788
120978,125282
120978,131413
120978,30605
120978,153563
120978,31996
120978,47554
120978,153420
120978,83671
120978,138937
120978,128642
120978,136277
120978,160445
120978,159941
120978,152099
120978,58625
120978,64286
120978,86749
120978,58438
120978,42499
120978,135624
120978,53519
120978,42248
120978,28096
120978,140193
120978,45839
120978,14184
120978,5126
120978,34478
120978,9871
120978,113110
120978,134552
120978,130535
120978,3830
120978,63781
120978,58068
120978,165444
120978,146254
120978,154064
120978,163822
120978,29599
120978,115263
120978,95962
120978,25123
120978,93990
120978,75324
120978,161170
120978,120884
120978,96088
120978,155984
120978,42564
120978,10349
120978,122488
74039,116363
74039,122064
74039,34268
74039,4239
74039,3932
74039,7659
74039,147831
74039,43478
74039,133021
74039,22049
74039,102223
74039,63130
74039,4209
74039,24774
74039,78957
74039,41834
74039,34198
74039,32538
74039,86869
74039,14709
74039,23312
74039,105683
74039,138811
74039,148077
74039,28425
74039,15560
74039,102425
74039,112380
74039,90993
74039,87133
74039,74167
74039,36983
74039,118705
74039,41856
74039,10852
74039,67225
74039,53720
74039,88688
74039,112060
74039,108273
74039,160564
74039,27108
74039,35387
74039,143468
74039,75776
74039,165717
74039,123435
74039,84242
74039,27226
74039,108223
74039,154349
74039,76743
74039,133403
74039,72940
74039,96704
74039,64514
74039,146117
74039,105407
74039,31119
74039,84502
74039,77696
74039,37957
74039,106375
74039,23273
74039,1436
74039,99408
74039,121462
74039,99652
74039,138288
74039,67401
74039,106048
74039,12712
74039,4709
74039,99665
74039,147065
74039,36838
74039,15755
74039,98230
74039,74588
74039,98831
74039,44603
74039,68535
74039,15933
74039,136164
74039,39325
74039,87943
74039,2056
74039,14588
74039,109445
74039,45126
74039,43224
74039,60565
74039,111757
74039,83748
74039,109489
74039,78360
74039,110831
74039,134578
74039,72686
74039,103364
74039,106285
74039,27368
74039,151924
74039,157439
74039,71687
74039,104744
74039,58977
74039,165148
74039,67189
74039,58564
74039,69023
74039,143167
74039,104345
74039,164448
74039,113981
74039,78437
74039,56526
74039,56452
74039,95748
74039,160576
74039,149053
74039,54180
74039,108745
74039,6636
74039,21858
74039,41452
74039,123462
74039,109320
74039,139091
74039,15268
74039,54722
74039,150200
74039,30676
74039,84617
74039,35229
74039,10251
74039,137479
74039,5167
74039,65327
74039,162384
74039,138006
74039,39895
74039,77974
74039,51824
74039,162868
74039,164202
74039,127216
74039,44364
74039,79299
74039,51640
74039,32249
74039,15598
74039,31367
74039,36694
74039,130341
74039,10182
74039,84875
74039,119781
74039,93294
74039,3393
74039,100165
74039,52040
74039,8614
74039,140669
74039,16638
74039,20537
74039,160424
74039,167464
74039,107479
74039,20773
74039,163960
74039,32240
74039,52727
74039,46258
74039,164630
74039,86542
74039,142436
74039,115339
74039,101012
74039,75142
74039,35929
74039,83089
74039,98029
74039,65198
74039,13236
74039,29350
74039,93774
74039,132819
74039,65973
74039,22017
74039,151574
74039,111245
74039,143996
74039,40578
74039,125776
74039,121410
74039,156962
74039,134044
74039,94317
74039,101912
74039,132896
74039,10987
74039,15285
74039,134697
74039,49420
74039,68561
74039,24693
74039,129505
74039,115318
74039,68547
74039,60275
74039,17240
74039,7592
74039,93667
74039,105409
74039,125054
74039,4579
74039,115648
74039,39052
74039,5851
74039,17603
74039,128458
74039,80663
74039,2776
74039,63561
74039,156985
74039,166323
74039,159474
74039,109522
74039,142979
74039,136012
74039,34713
74039,165879
74039,117366
